RelativeTo	RelativePos	X	Y	Z	RelativeVel	ApoapsisHeight	PeriapsisHeight	CurrentDistance	StartTheta	StartPhi	currentTheta	currentPhi	maxDistanceAngleTheta	maxDistanceAnglePhi	minDistanceAngleTheta	minDistanceAnglePhi	period	spin	lastPos	lastPhi	periodSum
uranus	(1.23707400, -0.08642186, -18.90483000)	1.237074	-0.08642186	-18.90483	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004562136	-1.505414	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.505414	0
uranus	(1.23270800, -0.08636435, -18.90511000)	1.232708	-0.08636435	-18.90511	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.0045591	-1.505645	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.505645	0
uranus	(1.22906900, -0.08631642, -18.90535000)	1.229069	-0.08631642	-18.90535	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.00455657	-1.505837	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.505837	0
uranus	(1.22470300, -0.08625890, -18.90563000)	1.224703	-0.0862589	-18.90563	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004553534	-1.506068	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.506068	0
uranus	(1.22106500, -0.08621097, -18.90587000)	1.221065	-0.08621097	-18.90587	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004551004	-1.506261	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.506261	0
uranus	(1.21669900, -0.08615344, -18.90615000)	1.216699	-0.08615344	-18.90615	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004547968	-1.506492	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.506492	0
uranus	(1.21306100, -0.08610550, -18.90638000)	1.213061	-0.0861055	-18.90638	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004545438	-1.506684	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.506684	0
uranus	(1.20869400, -0.08604797, -18.90666000)	1.208694	-0.08604797	-18.90666	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.0045424	-1.506915	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.506915	0
uranus	(1.20505600, -0.08600001, -18.90690000)	1.205056	-0.08600001	-18.9069	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004539869	-1.507108	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.507108	0
uranus	(1.20069000, -0.08594247, -18.90718000)	1.20069	-0.08594247	-18.90718	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004536832	-1.507339	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.507339	0
uranus	(1.19705100, -0.08589452, -18.90741000)	1.197051	-0.08589452	-18.90741	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.0045343	-1.507531	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.507531	0
uranus	(1.19341300, -0.08584655, -18.90763000)	1.193413	-0.08584655	-18.90763	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004531769	-1.507723	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.507723	0
uranus	(1.18904600, -0.08578900, -18.90791000)	1.189046	-0.085789	-18.90791	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004528732	-1.507954	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.507954	0
uranus	(1.18540700, -0.08574103, -18.90814000)	1.185407	-0.08574103	-18.90814	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.0045262	-1.508147	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.508147	0
uranus	(1.18104100, -0.08568347, -18.90841000)	1.181041	-0.08568347	-18.90841	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004523161	-1.508378	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.508378	0
uranus	(1.17740200, -0.08563550, -18.90864000)	1.177402	-0.0856355	-18.90864	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004520629	-1.50857	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.50857	0
uranus	(1.17303600, -0.08557793, -18.90892000)	1.173036	-0.08557793	-18.90892	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.00451759	-1.508801	-0.004564159	-1.50526	-1.505222	0	0.02	0	0	-1.508801	0
uranus	(1.16939700, -0.08552995, -18.90914000)	1.169397	-0.08552995	-18.90914	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004515057	-1.508994	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.508994	0
uranus	(1.16503000, -0.08547238, -18.90941000)	1.16503	-0.08547238	-18.90941	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004512018	-1.509225	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.509225	0
uranus	(1.16139100, -0.08542438, -18.90964000)	1.161391	-0.08542438	-18.90964	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004509484	-1.509417	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.509417	0
uranus	(1.15702400, -0.08536680, -18.90990000)	1.157024	-0.0853668	-18.9099	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004506445	-1.509648	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.509648	0
uranus	(1.15338500, -0.08531880, -18.91013000)	1.153385	-0.0853188	-18.91013	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004503912	-1.50984	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.50984	0
uranus	(1.14974600, -0.08527081, -18.91035000)	1.149746	-0.08527081	-18.91035	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004501379	-1.510033	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.510033	0
uranus	(1.14537900, -0.08521321, -18.91061000)	1.145379	-0.08521321	-18.91061	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004498339	-1.510264	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.510264	0
uranus	(1.14174000, -0.08516521, -18.91084000)	1.14174	-0.08516521	-18.91084	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004495805	-1.510456	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.510456	0
uranus	(1.13737300, -0.08510760, -18.91110000)	1.137373	-0.0851076	-18.9111	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004492764	-1.510687	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.510687	0
uranus	(1.13373400, -0.08505959, -18.91132000)	1.133734	-0.08505959	-18.91132	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.00449023	-1.51088	-0.004515057	-1.508994	-1.505222	0	0.02	0	0	-1.51088	0
uranus	(1.12936700, -0.08500198, -18.91158000)	1.129367	-0.08500198	-18.91158	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004487189	-1.51111	-0.004489723	-1.510918	-1.505222	0	0.02	0	0	-1.51111	0
uranus	(1.12572700, -0.08495396, -18.91180000)	1.125727	-0.08495396	-18.9118	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004484654	-1.511303	-0.004489723	-1.510918	-1.505222	0	0.02	0	0	-1.511303	0
uranus	(1.12136000, -0.08489633, -18.91206000)	1.12136	-0.08489633	-18.91206	(-0.1, 0.0, 0.0)	18.94546	18.94545	18.94546	-0.004564666	-1.505222	-0.004481613	-1.511534	-0.004489723	-1.510918	-1.505222	0	0.02	0	0	-1.511534	0
uranus	(1.11772100, -0.08484831, -18.91227000)	1.117721	-0.08484831	-18.91227	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94546	-0.004564666	-1.505222	-0.004479078	-1.511726	-0.004480091	-1.511649	-1.505222	0	0.02	0	0	-1.511726	0
uranus	(1.11335300, -0.08479068, -18.91253000)	1.113353	-0.08479068	-18.91253	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94546	-0.004564666	-1.505222	-0.004476036	-1.511957	-0.004480091	-1.511649	-1.505222	0	0.02	0	0	-1.511957	0
uranus	(1.10971400, -0.08474267, -18.91274000)	1.109714	-0.08474267	-18.91274	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94546	-0.004564666	-1.505222	-0.004473501	-1.51215	-0.004480091	-1.511649	-1.505222	0	0.02	0	0	-1.51215	0
uranus	(1.10534700, -0.08468502, -18.91300000)	1.105347	-0.08468502	-18.913	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94546	-0.004564666	-1.505222	-0.004470458	-1.51238	-0.004480091	-1.511649	-1.505222	0	0.02	0	0	-1.51238	0
uranus	(1.10170700, -0.08463699, -18.91322000)	1.101707	-0.08463699	-18.91322	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004467923	-1.512573	-0.004469951	-1.512419	-1.505222	0	0.02	0	0	-1.512573	0
uranus	(1.09806700, -0.08458894, -18.91343000)	1.098067	-0.08458894	-18.91343	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004465387	-1.512765	-0.004469951	-1.512419	-1.505222	0	0.02	0	0	-1.512765	0
uranus	(1.09370000, -0.08453130, -18.91368000)	1.0937	-0.0845313	-18.91368	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004462343	-1.512996	-0.004462343	-1.512996	-1.505222	0	0.02	0	0	-1.512996	0
uranus	(1.09006000, -0.08448325, -18.91389000)	1.09006	-0.08448325	-18.91389	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004459808	-1.513189	-0.004462343	-1.512996	-1.505222	0	0.02	0	0	-1.513189	0
uranus	(1.08569300, -0.08442559, -18.91414000)	1.085693	-0.08442559	-18.91414	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004456765	-1.51342	-0.004462343	-1.512996	-1.505222	0	0.02	0	0	-1.51342	0
uranus	(1.08205300, -0.08437754, -18.91436000)	1.082053	-0.08437754	-18.91436	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004454228	-1.513612	-0.004462343	-1.512996	-1.505222	0	0.02	0	0	-1.513612	0
uranus	(1.07768500, -0.08431987, -18.91460000)	1.077685	-0.08431987	-18.9146	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004451184	-1.513843	-0.004453213	-1.513689	-1.505222	0	0.02	0	0	-1.513843	0
uranus	(1.07404500, -0.08427182, -18.91481000)	1.074045	-0.08427182	-18.91481	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004448648	-1.514035	-0.004453213	-1.513689	-1.505222	0	0.02	0	0	-1.514035	0
uranus	(1.06967800, -0.08421414, -18.91506000)	1.069678	-0.08421414	-18.91506	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004445602	-1.514266	-0.004453213	-1.513689	-1.505222	0	0.02	0	0	-1.514266	0
uranus	(1.06603800, -0.08416607, -18.91527000)	1.066038	-0.08416607	-18.91527	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004443065	-1.514459	-0.004445095	-1.514305	-1.505222	0	0.02	0	0	-1.514459	0
uranus	(1.06167000, -0.08410840, -18.91552000)	1.06167	-0.0841084	-18.91552	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.00444002	-1.51469	-0.004441035	-1.514613	-1.505222	0	0.02	0	0	-1.51469	0
uranus	(1.05803000, -0.08406033, -18.91572000)	1.05803	-0.08406033	-18.91572	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004437483	-1.514882	-0.004441035	-1.514613	-1.505222	0	0.02	0	0	-1.514882	0
uranus	(1.05439000, -0.08401226, -18.91592000)	1.05439	-0.08401226	-18.91592	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.004434946	-1.515075	-0.004441035	-1.514613	-1.505222	0	0.02	0	0	-1.515075	0
uranus	(1.05002200, -0.08395457, -18.91617000)	1.050022	-0.08395457	-18.91617	(-0.1, 0.0, 0.0)	18.94547	18.94545	18.94547	-0.004564666	-1.505222	-0.0044319	-1.515306	-0.004441035	-1.514613	-1.505222	0	0.02	0	0	-1.515306	0
uranus	(1.04638200, -0.08390648, -18.91637000)	1.046382	-0.08390648	-18.91637	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94547	-0.004564666	-1.505222	-0.004429362	-1.515498	-0.004430884	-1.515383	-1.505222	0	0.02	0	0	-1.515498	0
uranus	(1.04201400, -0.08384879, -18.91661000)	1.042014	-0.08384879	-18.91661	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004426316	-1.515729	-0.004427331	-1.515652	-1.505222	0	0.02	0	0	-1.515729	0
uranus	(1.03837400, -0.08380070, -18.91681000)	1.038374	-0.0838007	-18.91681	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004423778	-1.515921	-0.004427331	-1.515652	-1.505222	0	0.02	0	0	-1.515921	0
uranus	(1.03400600, -0.08374298, -18.91706000)	1.034006	-0.08374298	-18.91706	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004420732	-1.516152	-0.004427331	-1.515652	-1.505222	0	0.02	0	0	-1.516152	0
uranus	(1.03036500, -0.08369488, -18.91725000)	1.030365	-0.08369488	-18.91725	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004418193	-1.516345	-0.004427331	-1.515652	-1.505222	0	0.02	0	0	-1.516345	0
uranus	(1.02599700, -0.08363718, -18.91749000)	1.025997	-0.08363718	-18.91749	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004415147	-1.516576	-0.004415654	-1.516537	-1.505222	0	0.02	0	0	-1.516576	0
uranus	(1.02235700, -0.08358908, -18.91769000)	1.022357	-0.08358908	-18.91769	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004412608	-1.516768	-0.004415654	-1.516537	-1.505222	0	0.02	0	0	-1.516768	0
uranus	(1.01798900, -0.08353135, -18.91793000)	1.017989	-0.08353135	-18.91793	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004409561	-1.516999	-0.004415654	-1.516537	-1.505222	0	0.02	0	0	-1.516999	0
uranus	(1.01434800, -0.08348324, -18.91813000)	1.014348	-0.08348324	-18.91813	(-0.1, 0.0, 0.0)	18.94548	18.94545	18.94548	-0.004564666	-1.505222	-0.004407021	-1.517191	-0.004407528	-1.517153	-1.505222	0	0.02	0	0	-1.517191	0
uranus	(1.01070800, -0.08343514, -18.91832000)	1.010708	-0.08343514	-18.91832	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004404481	-1.517384	-0.004404481	-1.517384	-1.505222	0	0.02	0	0	-1.517384	0
uranus	(1.00633900, -0.08337741, -18.91856000)	1.006339	-0.08337741	-18.91856	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004401434	-1.517615	-0.004404481	-1.517384	-1.505222	0	0.02	0	0	-1.517615	0
uranus	(1.00269900, -0.08332928, -18.91875000)	1.002699	-0.08332928	-18.91875	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004398894	-1.517807	-0.004404481	-1.517384	-1.505222	0	0.02	0	0	-1.517807	0
uranus	(0.99833050, -0.08327154, -18.91898000)	0.9983305	-0.08327154	-18.91898	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004395845	-1.518038	-0.004398385	-1.517846	-1.505222	0	0.02	0	0	-1.518038	0
uranus	(0.99469000, -0.08322342, -18.91918000)	0.99469	-0.08322342	-18.91918	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004393305	-1.51823	-0.004398385	-1.517846	-1.505222	0	0.02	0	0	-1.51823	0
uranus	(0.99032130, -0.08316568, -18.91940000)	0.9903213	-0.08316568	-18.9194	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004390257	-1.518461	-0.004391781	-1.518346	-1.505222	0	0.02	0	0	-1.518461	0
uranus	(0.98668090, -0.08311754, -18.91960000)	0.9866809	-0.08311754	-18.9196	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004387717	-1.518654	-0.004391781	-1.518346	-1.505222	0	0.02	0	0	-1.518654	0
uranus	(0.98231230, -0.08305978, -18.91982000)	0.9823123	-0.08305978	-18.91982	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004384668	-1.518885	-0.004386192	-1.518769	-1.505222	0	0.02	0	0	-1.518885	0
uranus	(0.97867160, -0.08301166, -18.92002000)	0.9786716	-0.08301166	-18.92002	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004382126	-1.519077	-0.004382634	-1.519039	-1.505222	0	0.02	0	0	-1.519077	0
uranus	(0.97430280, -0.08295389, -18.92024000)	0.9743028	-0.08295389	-18.92024	(-0.1, 0.0, 0.0)	18.94549	18.94545	18.94549	-0.004564666	-1.505222	-0.004379077	-1.519308	-0.004382634	-1.519039	-1.505222	0	0.02	0	0	-1.519308	0
uranus	(0.97066210, -0.08290575, -18.92043000)	0.9706621	-0.08290575	-18.92043	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004376535	-1.5195	-0.004378568	-1.519346	-1.505222	0	0.02	0	0	-1.5195	0
uranus	(0.96702130, -0.08285760, -18.92062000)	0.9670213	-0.0828576	-18.92062	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004373995	-1.519693	-0.004378568	-1.519346	-1.505222	0	0.02	0	0	-1.519693	0
uranus	(0.96265260, -0.08279982, -18.92085000)	0.9626526	-0.08279982	-18.92085	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004370945	-1.519924	-0.004373486	-1.519731	-1.505222	0	0.02	0	0	-1.519924	0
uranus	(0.95901170, -0.08275168, -18.92103000)	0.9590117	-0.08275168	-18.92103	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004368403	-1.520116	-0.004370436	-1.519962	-1.505222	0	0.02	0	0	-1.520116	0
uranus	(0.95464280, -0.08269388, -18.92125000)	0.9546428	-0.08269388	-18.92125	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004365353	-1.520347	-0.004370436	-1.519962	-1.505222	0	0.02	0	0	-1.520347	0
uranus	(0.95100210, -0.08264574, -18.92144000)	0.9510021	-0.08264574	-18.92144	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.00436281	-1.52054	-0.004363319	-1.520501	-1.505222	0	0.02	0	0	-1.52054	0
uranus	(0.94663290, -0.08258794, -18.92166000)	0.9466329	-0.08258794	-18.92166	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.00435976	-1.52077	-0.00435976	-1.52077	-1.505222	0	0.02	0	0	-1.52077	0
uranus	(0.94299210, -0.08253978, -18.92184000)	0.9429921	-0.08253978	-18.92184	(-0.1, 0.0, 0.0)	18.9455	18.94545	18.9455	-0.004564666	-1.505222	-0.004357218	-1.520963	-0.00435976	-1.52077	-1.505222	0	0.02	0	0	-1.520963	0
uranus	(0.93862300, -0.08248198, -18.92206000)	0.938623	-0.08248198	-18.92206	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004354166	-1.521194	-0.004355692	-1.521078	-1.505222	0	0.02	0	0	-1.521194	0
uranus	(0.93498190, -0.08243380, -18.92224000)	0.9349819	-0.0824338	-18.92224	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004351623	-1.521386	-0.004355692	-1.521078	-1.505222	0	0.02	0	0	-1.521386	0
uranus	(0.93061270, -0.08237600, -18.92246000)	0.9306127	-0.082376	-18.92246	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004348571	-1.521617	-0.004350097	-1.521502	-1.505222	0	0.02	0	0	-1.521617	0
uranus	(0.92697180, -0.08232784, -18.92264000)	0.9269718	-0.08232784	-18.92264	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004346028	-1.52181	-0.004348062	-1.521656	-1.505222	0	0.02	0	0	-1.52181	0
uranus	(0.92260260, -0.08227001, -18.92285000)	0.9226026	-0.08227001	-18.92285	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004342977	-1.52204	-0.004345011	-1.521886	-1.505222	0	0.02	0	0	-1.52204	0
uranus	(0.91896150, -0.08222183, -18.92303000)	0.9189615	-0.08222183	-18.92303	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004340433	-1.522233	-0.004340941	-1.522194	-1.505222	0	0.02	0	0	-1.522233	0
uranus	(0.91532040, -0.08217365, -18.92321000)	0.9153204	-0.08217365	-18.92321	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004337889	-1.522425	-0.004337889	-1.522425	-1.505222	0	0.02	0	0	-1.522425	0
uranus	(0.91095100, -0.08211582, -18.92342000)	0.910951	-0.08211582	-18.92342	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004334837	-1.522656	-0.004337889	-1.522425	-1.505222	0	0.02	0	0	-1.522656	0
uranus	(0.90730980, -0.08206762, -18.92360000)	0.9073098	-0.08206762	-18.9236	(-0.1, 0.0, 0.0)	18.94551	18.94545	18.94551	-0.004564666	-1.505222	-0.004332293	-1.522849	-0.004337889	-1.522425	-1.505222	0	0.02	0	0	-1.522849	0
uranus	(0.90294040, -0.08200979, -18.92381000)	0.9029404	-0.08200979	-18.92381	(-0.1, 0.0, 0.0)	18.94552	18.94545	18.94552	-0.004564666	-1.505222	-0.00432924	-1.52308	-0.004330766	-1.522964	-1.505222	0	0.02	0	0	-1.52308	0
uranus	(0.89929910, -0.08196159, -18.92398000)	0.8992991	-0.08196159	-18.92398	(-0.1, 0.0, 0.0)	18.94552	18.94545	18.94552	-0.004564666	-1.505222	-0.004326696	-1.523272	-0.004330766	-1.522964	-1.505222	0	0.02	0	0	-1.523272	0
uranus	(0.89492980, -0.08190376, -18.92419000)	0.8949298	-0.08190376	-18.92419	(-0.1, 0.0, 0.0)	18.94552	18.94545	18.94552	-0.004564666	-1.505222	-0.004323643	-1.523503	-0.004325169	-1.523387	-1.505222	0	0.02	0	0	-1.523503	0
uranus	(0.89128850, -0.08185556, -18.92437000)	0.8912885	-0.08185556	-18.92437	(-0.1, 0.0, 0.0)	18.94552	18.94545	18.94552	-0.004564666	-1.505222	-0.004321098	-1.523695	-0.004322624	-1.52358	-1.505222	0	0.02	0	0	-1.523695	0
uranus	(0.88691880, -0.08179770, -18.92458000)	0.8869188	-0.0817977	-18.92458	(-0.1, 0.0, 0.0)	18.94552	18.94545	18.94552	-0.004564666	-1.505222	-0.004318045	-1.523926	-0.004319062	-1.523849	-1.505222	0	0.02	0	0	-1.523926	0
uranus	(0.88327740, -0.08174950, -18.92475000)	0.8832774	-0.0817495	-18.92475	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94552	-0.004564666	-1.505222	-0.004315499	-1.524119	-0.004317534	-1.523965	-1.505222	0	0.02	0	0	-1.524119	0
uranus	(0.87890790, -0.08169165, -18.92495000)	0.8789079	-0.08169165	-18.92495	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94552	-0.004564666	-1.505222	-0.004312445	-1.524349	-0.004317534	-1.523965	-1.505222	0	0.02	0	0	-1.524349	0
uranus	(0.87526640, -0.08164342, -18.92512000)	0.8752664	-0.08164342	-18.92512	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94553	-0.004564666	-1.505222	-0.0043099	-1.524542	-0.004310918	-1.524465	-1.505222	0	0.02	0	0	-1.524542	0
uranus	(0.87162510, -0.08159520, -18.92529000)	0.8716251	-0.0815952	-18.92529	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94553	-0.004564666	-1.505222	-0.004307354	-1.524734	-0.004308881	-1.524619	-1.505222	0	0.02	0	0	-1.524734	0
uranus	(0.86725520, -0.08153734, -18.92550000)	0.8672552	-0.08153734	-18.9255	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94553	-0.004564666	-1.505222	-0.004304299	-1.524965	-0.004304299	-1.524965	-1.505222	0	0.02	0	0	-1.524965	0
uranus	(0.86361380, -0.08148911, -18.92566000)	0.8636138	-0.08148911	-18.92566	(-0.1, 0.0, 0.0)	18.94553	18.94545	18.94553	-0.004564666	-1.505222	-0.004301753	-1.525158	-0.00430379	-1.525004	-1.505222	0	0.02	0	0	-1.525158	0
uranus	(0.85924400, -0.08143124, -18.92587000)	0.859244	-0.08143124	-18.92587	(-0.1, 0.0, 0.0)	18.94554	18.94545	18.94553	-0.004564666	-1.505222	-0.004298698	-1.525388	-0.004299716	-1.525311	-1.505222	0	0.02	0	0	-1.525388	0
uranus	(0.85560240, -0.08138300, -18.92603000)	0.8556024	-0.081383	-18.92603	(-0.1, 0.0, 0.0)	18.94554	18.94545	18.94554	-0.004564666	-1.505222	-0.004296152	-1.525581	-0.004296152	-1.525581	-1.505222	0	0.02	0	0	-1.525581	0
uranus	(0.85123250, -0.08132513, -18.92623000)	0.8512325	-0.08132513	-18.92623	(-0.1, 0.0, 0.0)	18.94554	18.94545	18.94554	-0.004564666	-1.505222	-0.004293096	-1.525812	-0.004296152	-1.525581	-1.505222	0	0.02	0	0	-1.525812	0
uranus	(0.84759090, -0.08127689, -18.92640000)	0.8475909	-0.08127689	-18.9264	(-0.1, 0.0, 0.0)	18.94554	18.94545	18.94554	-0.004564666	-1.505222	-0.00429055	-1.526004	-0.004291568	-1.525927	-1.505222	0	0.02	0	0	-1.526004	0
